BADGE CREATION / DEALER PACKETS
CASH BOX During show
CASH BOX Post show
CASH BOX Preshow
CASH BOX SETUP/CHANGE
CLINICS
CONTRACTING WITH DEALERS
DOOR CONTROL
DOOR CONTROLDuring Show
DOOR CONTROLPre-show
DOOR PRIZES (PRE-SHOW)
DOOR PRIZES (PRE-SHOW)
DOOR PRIZES (SHOW DAY)
EARLY DOOR ENTRY
EARLY TICKET SALES
EXTERIOR SIGN CREATION
FACILITY LIAISON
FACILITY LIAISON Post Show:
FACILITY LIAISONPreshow:
FACILITY LIAISONShow Weekend:
FLOOR SPACE/ALLOCATION PLAN
GETTING TICKETS/WRISTBANDS
INFORMATION TABLE
INTERIOR SIGN CREATION/SETUP
LAYOUT TOUR RECRUITMENT
LAYOUT TOUR SUPPORT
PUBLICIST/ADVERTISING
PUBLICIST/ADVERTISING EMAIL FLYER DISTRIBUTION
PUBLICIST/ADVERTISING FLYER CREATION/DUPLICATION
PUBLICIST/ADVERTISING PAID ADS
PUBLICIST/ADVERTISING SOCIAL MEDIA
SATURDAY NIGHT SECURITY TO CLEAR BUILDING
SHOW JOB DESCRIPTIONS
SHOW MANAGER – FRIDAY/SATURDAY MORNING
SHOW MANAGER – SATURDAY/SUNDAY DURING THE SHOW
SHOW MANAGER ASSISTANT
SHOW MANAGER ASSISTANT – PRIOR TO SHOW OPENINGS
SHOW MANAGER ASSISTANT – SATURDAY/SUNDAY DURING THE SHOW
SHOW SETUP FRIDAY
SPONSORSHIP SALES
SURVEY DATA
SWITCHING CONTEST
SWITCHING LAYOUT
TICKET SALES
TRAFFIC COORDINATOR – FRIDAY AND SUNDAY NIGHTS
TRAIN RACE
TRAIN RACE ARRANGING
TRAIN RACE ARRANGINGAfter show ends (Sunday)
TRAIN RACE ARRANGINGPre-show
VENDER CHECKIN
WALKIE-TALKIE MAINTENANCE
WEBMASTER
WORK ASSIGNMENT TASK/CHART
